"ArAr80Di","BCKG190Di","Ba138Di","Bi209Di","Ce140Di","Ce142Di","Center","Cs133Di","Eu151Di","Eu153Di","Event_length","Gd156Di","Ho165Di","I127Di","Ir191Di","Ir193Di","Lu175Di","Lu176Di","Offset","Pb207Di","Pb208Di","Pt195Di","Pt196Di","Residual","Rh103Di","Xe131Di","Time"
140.948,0,349.02,0,0,0,639.032,0,0,4.26575,14,0,0,4.38715,0,1.98258,0,0,27.162,4.46141,6.50048,0,0,288.937,0,0,6.86779
104.879,0,259.923,3.95789,0,0,543.951,0,2.74859,367.428,15,0,0,3.05928,233.212,382.827,0,0.431133,106.106,6.92082,10.1915,1.60681,3.21657,95.641,0,0,6.86891
178.995,0,598.183,0,0,0.193144,921.083,0,0,2.07951,19,0,0,1.89276,0,0,0,0,91.492,7.0135,6.51716,0.397172,5.66866,240.765,0,0,6.87495
87.0946,0,1244.77,2.6132,2.47135,0.555306,721.898,0,0,3.57966,15,0,0,2.28441,0,0.489848,0,0,136.572,12.5554,30.2016,0.210391,0,124.635,0,0.040542,6.91878
83.5092,0,278.928,0,0,3.8194,379.847,0,0,171.178,10,0,0,4.67944,38.3921,46.4297,0,0,149.316,10.6709,15.8347,6.34805,0.721792,128.169,0,0.088174,6.95104
168.945,0,1530.07,0,0,0,728.56,0,0,2.96172,18,0,0,2.25515,0,0,0,0,80.092,3.42544,12.3275,0,0,91.77,0,0,7.15003
162.481,0,37.0977,0.479008,0.780682,0,774.888,0,0,57.5307,24,0,0,2.5719,194.171,361.018,0,0,83.661,1.79389,0.944112,4478.58,3444.91,53.567,0,0.580418,7.3412
98.1835,0,232.765,0,0,0,690.099,0,0,3.40923,13,0,0,4.43058,1.33029,0,0,0,26.296,10.8023,2.12807,3.8096,1.67759,253.667,0,0.135539,7.38467
96.7028,0,768.793,0,0.525143,0,576.685,0,0,10.5336,13,0.283618,0,1.18458,0.850646,8.0667,0,0,72.051,3.65475,13.7628,0,1.0472,80.261,0,0.511977,7.38977
152.763,0,16.6875,12.6756,2.49709,0,901.614,0,0,0.141767,21,0,0,15.4995,2.51904,1.93321,0,0,122.747,461.447,898.896,0,0,213.068,0,0,7.42778
94.4337,0,11.2339,1.14185,18.7429,8.66185,0,0,0,0,13,3.51121,0,5.27762,3.67337,2.68594,0,0,0,37.4109,80.4173,67.8377,61.8242,0,0,1.20742,7.48778
72.6507,0.880757,340.548,0,0,0,654.7,0,0.000993,115.316,17,0,0,2.84461,439.899,950.507,0,0,81.84,0,0.386618,10594.3,7854.36,53.838,0,0,7.57398
92.3982,0,259.26,0,0,0,588.883,0,0,0,13,0,0,8.18578,0,0,0,0,33.267,0,4.47232,0,0,231.291,0,0,7.5939
91.8601,0,1035.79,0,0,0,481.978,0,0,1.96285,13,0,0.773085,11.898,1.2732,0.041125,0,0,96.587,9.18492,19.6938,0,0,71.018,0,2.86105,7.59745
160.829,0,3729.05,2.29545,4.92897,0,743.999,2.53651,0,0.086989,18,0,0.203231,4.45415,0,0,0,0,101.202,14.0614,46.4337,0,0,100.325,0,0.09072,7.63647
99.5366,0,3147.06,1.66824,7.15411,0.756643,660.66,0.919647,0,0.287402,16,0,0,4.7007,0,0,0,0.763375,101.287,21.887,47.0877,0,0,73.625,0,1.19693,7.63819
105.368,0,2475.4,1.1179,1.35545,0,567.733,0.544711,0,1.63245,14,0.554824,0,8.34723,0.339582,3.1302,0,0,128.219,19.1185,45.3371,14.868,17.0102,62.917,0,0.504829,8.00329
94.702,0,174.765,0,0.86902,0,548.916,0,0,4.54669,13,0,0,4.70895,33.4148,77.5163,0,0,49.258,4.31919,4.58787,2.75847,1.40119,226.546,0,0.965109,8.01053
177.317,0,2269.91,0,7.15063,0,764.948,0,0,0.969242,19,0,0,0.165325,0,0,0,0,117.931,7.49498,10.2032,0,0,103.504,0,2.87697,8.07898
126.326,0,760.715,0,0,0.251765,547.862,0,0,0.017949,14,0,0,2.9735,2.36161,3.45347,0,0,96.526,7.6652,22.67,27.9585,7.05393,146.385,0,0,8.08373
65.5372,0,339.937,0,0,0,262.727,0.618935,0,1.09289,10,0,0,0.630522,0,0,0,0,68.064,6.62497,10.2519,10.4352,1.41245,141.478,0,0,8.2186
114.72,0,236.795,0,11.1366,0,640.437,0,0.441049,1305.54,16,0,0.087707,1.76985,381.04,712.096,0,0,98.546,23.9062,52.2604,2.41495,5.65036,66.341,0,0,8.39009
74.1677,0,143.717,0,0,0,0,0,0,8.04498,10,0,0,2.45549,0,0.156887,0,0,0,0.154421,0.651844,11.8059,7.67444,0,0,2.36417,8.4032
150.97,0,316.38,2.2932,4.3388,0,493.339,0,0.974607,738.346,14,0.052764,0,2.24315,324.416,642.337,0,0,99.477,6.82237,23.2852,2.41961,5.06528,62.228,0,0,8.42033
98.1012,0,259.354,0,0.258059,0,592.812,0,0,0.105969,14,0,0,7.08029,0,0,0,0,35.96,0.255242,18.0704,0,0,183.137,0,0,8.43543
104.171,0,1161.74,0,1.46864,0,445.779,0,0,3.82947,14,0,0,1.09667,0,0,0,0,74.906,3.13019,6.11395,0,0,100.714,0,0,8.46296
129.497,0,233.116,0,2.49412,2.9077,484.989,0,7.54249,1224.03,15,0,0.460372,4.09693,426.129,751.033,0,0,80.527,7.97696,34.0168,16.5168,6.37578,77.672,0,2.34169,8.51506
