FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
1.02E+06,1584.49,625101,57087.7,372.517,63988.5,31170.6,7304.36,18408.1,1.70557
1.70E+06,2065.18,1.40E+06,99098.2,1146.24,92148.6,33119.5,14347,4151.57,1.70812
1.00E+06,1525.67,795861,68777.2,1259.71,100971,34543.9,26409.9,18350.7,1.709
781930,1758.72,817260,94423,42.8883,140263,105457,102234,12399,1.71032
1.25E+06,1787.78,976505,103971,1084.38,142706,47993.8,17685.6,27037.6,1.71271
646262,1783.6,567206,58441.9,581.175,54402.2,25028.9,4936.18,8863.25,1.71316
969389,1757.46,524600,39423.7,238.011,65632.8,25843.6,13038.3,8041.31,1.71481
830814,1622.58,493175,52968.9,-106.7,104543,27698.6,4958.18,9426.63,1.71699
849457,1710.92,637885,49077.1,600.084,127708,45306.1,10168.9,16906.3,1.71983
811786,1908.33,742332,52531.3,1266.98,54884,19930,18314.4,3753.63,1.72128
1.13E+06,1812.72,654975,49310.7,388.302,85575.1,26695.7,14379.1,10215.6,1.72268
938416,1603.91,644509,47319.8,343.326,98073.7,37868.8,10950.1,8610.12,1.72344
1.16E+06,1745.43,887743,74989.2,12270,83386.2,45559.5,7569.6,11106.4,1.72393
1.01E+06,1640.33,729567,85370.7,336.55,116269,54218.6,8392.08,9738.42,1.72935
1.11E+06,2018.43,873764,111300,713.68,59410.2,47575.6,8782.99,16858.7,1.73299
