FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time,,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A
704740,1785.49,514105,202.075,-337.5,6022.05,279.431,-404.861,2.07184,8.43775,,,,,,,
776115,2006.15,589636,532.081,-358.867,6746.98,330.516,-36.3215,216.822,8.43809,,,,,,,
1.37E+06,1822.7,804302,733.861,-1076.27,10802.4,457.231,-761.142,470.509,8.44091,,,,,,,
939865,2292,630132,380.086,-364.191,8654.55,293.185,-340.121,96.3427,8.44385,,,,,,,
933298,2027.01,600281,815.632,-1017.71,9889.34,550.341,-109.085,405.18,8.44793,,,,,,,
989628,1791.13,656353,674.14,-970.846,10774.5,136.779,-897.873,496.862,8.44969,,,,,,,
747402,1672.54,371810,326.366,-411.45,5429.45,127.847,-101.685,567.442,8.45073,,,,,,,
1.37E+06,2533.7,1.08E+06,691.769,-905.099,16000.3,338.009,-867,422.831,8.45363,,,,,,,
1.22E+06,2162.92,776263,471.017,-993.632,16479.1,567.885,220.841,532.819,8.45609,,,,,,,
1.48E+06,2151.01,958645,1028.89,-1135.85,14372,375.353,-1189.63,451.272,8.45809,,,,,,,
821685,1646.3,503312,287.063,-345.591,7269.26,251.172,-400.87,384.897,8.45831,,,,,,,
1.29E+06,1718.12,612283,727.598,-777.961,10691.3,401.256,-925.32,409.914,8.45985,,,,,,,
918345,1887.11,500158,96.3458,-286.049,6169.04,-239.437,-70.7943,315.385,8.46413,,,,,,,
1.74E+06,1826.51,996919,1487.15,-2282.22,22748.9,507.968,-1047.56,908.276,8.46995,,,,,,,
1.39E+06,2090.69,1.02E+06,663.415,-1309.3,16810.2,691.639,-28.3153,762.813,8.47229,,,,,,,
994744,1773.16,913765,545.078,-271.841,11309.8,197.696,4.06625,-92.053,8.47373,,,,,,,
1.76E+06,2133.26,1.41E+06,898.859,-883.491,20459.3,455.062,-852.013,1057.52,8.47693,,,,,,,
928771,1535.55,602247,-52.5286,-178.176,7107.62,-71.089,29.3771,379.341,8.47781,,,,,,,
1.12E+06,1685.09,623455,611.409,-489.367,9035.72,247.64,-36.6238,415.479,8.48365,,,,,,,
1.07E+06,1902.43,795265,481.112,-12.6056,9457.86,429.166,-89.5372,64.6083,8.49311,,,,,,,
909136,1600.77,479184,225.673,-3.25692,4776.65,-166.606,-148.056,-85.6999,8.49399,,,,,,,
907588,1876.21,543134,598.016,-807.06,8790.12,250.884,-477.027,556.754,8.50267,,,,,,,
721613,1835.76,481869,362.78,-608.006,7626.36,434.823,-409.489,644.618,8.50495,,,,,,,
935099,2161.76,526319,536.585,-328.925,6142.92,237.603,-312.009,271.495,8.51305,,,,,,,
1.20E+06,1842.24,580075,659.268,-671.106,9904.61,-59.3932,-353.408,299.995,8.51447,,,,,,,
858358,1714.49,543135,317.934,-381.864,6444.14,-59.5824,-67.2602,370.511,8.52264,,,,,,,
1.23E+06,1535.28,691445,321.915,-395.244,9902.74,364.648,-260.777,440.419,8.54624,,,,,,,
896182,1972.54,643708,387.32,-587.058,7353.54,231.77,-21.6145,463.767,8.54932,,,,,,,
763728,2111.16,613027,570.401,-641.194,11046.2,208.005,33.091,429.813,8.54982,,,,,,,
1.02E+06,2547.63,761017,62.2529,-1.28447,5992.56,113.092,147.794,210.68,8.55538,,,,,,,
1.27E+06,2504.01,767975,224.941,-666.45,10882.8,514.335,236.599,501.632,8.55548,,,,,,,
1.12E+06,1686.58,616741,611.344,-610.212,9769.59,296.649,-36.1962,485.186,8.5615,,,,,,,
629719,1676.59,503071,254.686,-430.538,4807.9,200.72,-76.6534,516.656,8.56218,,,,,,,
770110,1464.09,798202,631.111,96.4726,96671.4,11.989,-242.094,-155.023,8.56234,,,,,,,
1.06E+06,1836.69,609780,331.423,133.691,6515.55,-158.016,-112.008,409.361,8.57816,,,,,,,
813244,2199.77,548648,392.059,2.92975,7104.09,122.243,80.6624,72.9449,8.58208,,,,,,,
657955,1489.35,530329,263.238,-589.724,7533.45,159.354,-317.596,217.044,8.58288,,,,,,,
742006,1662.49,484758,75.658,-228.498,6398.42,105.68,160.942,146.251,8.58852,,,,,,,
687344,1700.49,584856,134.977,-168.701,7799.57,35.0272,-324.14,123.789,8.59554,,,,,,,
