"FSC-A","FSC-Width","SSC-A","B525-FITC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
687568,1417.41,1.17198e+06,305.593,-28.3261,68974.2,419.288,154.355,-15.7738,30.2732,348.86,0.57658
82218.5,931.072,46036.6,92.4721,-20.9876,3772.18,-23.3091,-176.918,-18.6393,92.8698,88.3901,0.588866
75988.7,851.635,72286.7,-4.80122,-67.271,2812.19,155.001,-286.065,-80.3856,-13.3834,32.9396,0.591927
213312,1066.02,170537,-72.4922,-76.0161,14635.2,123.207,90.4548,30.4854,-125.144,-134.646,0.592527
130821,984.943,-1122.3,87.2981,-176.278,-591.174,189.75,-5.51668,-10.086,1231.62,-1.40734,0.592827
590404,1191.23,985695,111.083,112.173,27721.2,223.019,73.8931,49.5056,-213.732,74.5643,0.594148
116563,981.002,69514.8,-80.1446,-128.055,3787.56,-27.8573,57.6843,2.58534,162.448,161.93,0.594728
749294,1764.66,395842,631.096,2000.41,16465,974.661,779.123,105.705,-544.295,322.739,0.595348
262022,1150.48,121515,23.6475,144.299,12990.8,-266.769,437.475,95.9653,219.009,-73.7774,0.595849
609645,1285.47,926946,98.5469,34.7026,38232.2,69.2312,-47.6231,-11.1019,82.2909,151.727,0.596749
151005,1035.55,32989.7,99.0572,14.4654,6720.21,227.15,-34.2876,9.80681,138.747,-13.1351,0.597429
137835,1061.28,40161.5,59.2522,152.147,7788.62,-169.064,226.342,53.9303,194.001,-103.582,0.600351
183498,1088.3,170717,-85.7173,-18.3238,6514.42,255.922,377.353,59.9303,-207.401,-89.1327,0.601151
141741,1012.15,19952.1,-129.94,232.255,8923.11,-106.798,-92.9128,-43.6281,134.593,-83.5627,0.601831
219502,1095.88,260434,-200.419,51.5969,12576.8,22.906,-58.6562,-19.3081,-79.7706,-47.0517,0.603132
257816,1155.88,131199,6.62508,-193.313,12943.3,216.44,-25.4746,-1.3358,25.804,48.0678,0.604453
787249,1663.14,339689,21240.6,406.282,31811.2,616.03,9674.99,23.813,3706.83,3549.27,0.609035
3.42482e+07,12614.4,8.45436e+06,-3674.88,3997.85,2.72613e+06,-11433,413.72,-268.466,6332.36,11574.3,0.610956
3.3504e+07,12338.4,7.48718e+07,777.746,-12501.8,2.79321e+06,-5187.52,25724.3,-2265.11,49655.4,118185,0.611136
171073,1050.18,146987,169.545,-140.746,7597.09,260.162,-361.918,-74.7898,190.737,133.161,0.612576
103562,962.314,60257.9,-3.74387,57.3302,3883.2,-59.1044,99.3905,30.6116,-89.4777,-15.617,0.615498
108152,1029.78,59252.9,167.58,85.6292,4251.92,-19.7167,7.9964,-0.160968,25.2759,-5.82223,0.615778
127271,1027.54,89637.7,100.128,-122.414,4247.82,366.768,-127.965,-47.0653,58.2843,190.802,0.617258
1.82293e+07,6810.29,4.47362e+07,593.425,-4041.98,1.31724e+06,-3335.75,10832.7,-1026.3,19715.6,45644.2,0.617779
223061,1105.5,97446.9,-80.5835,-115.542,8800.75,314.319,-382.476,-56.459,-148.221,48.6142,0.6201
297331,1164.29,228968,216.796,420.906,9177.67,-270.603,340.377,89.2637,-7.8775,-153.346,0.62044
264452,1161.99,117299,272.462,204.357,14834.4,26.677,83.5172,-33.3828,21.5682,-69.2545,0.6209
5.10499e+07,18653.6,4.80303e+06,-1536.38,-731.105,256031,-740.788,-300.099,-98.8975,-538.801,3187.59,0.62118
2.71673e+07,10340.1,1.38313e+07,-333.129,-805.427,97299.4,-210.639,28.5448,86.707,239.585,1327.78,0.62162
138581,989.699,88175.9,-96.033,-104.701,6491.93,119.924,-219.97,-37.2316,-44.7927,-42.4137,0.624101
260309,1211.7,188919,242.139,-99.7024,4903.87,20.1973,213.551,53.058,-77.3163,34.3897,0.624362
89461.1,876.867,26681.7,106.551,-162.166,3171.3,306.672,-439.865,-142.24,-87.4407,41.9817,0.626022
226376,1175.45,117096,94.1239,-257.882,15207,124.781,11.964,17.683,-206.607,172.158,0.628163
108909,1014.95,37945.9,3.26973,112.275,3032.44,-51.7072,209.792,39.6608,-117.469,4.21983,0.629064
271262,1129.3,100715,136.893,103.256,17194.5,164.772,-124.753,3.64997,-122.902,77.6731,0.633166
117327,1063.13,27893.3,-55.2398,4833.69,-234.334,-58.6773,263.871,55.8626,203.703,71.0469,0.636207
183616,1105.18,45865,81.2088,168.166,9502.37,-202.787,62.6908,-6.0658,131.479,48.8394,0.638388
216964,1092.93,206280,18.8461,-39.0715,14587.4,5.73414,-7.02678,-8.69578,-127.716,56.0579,0.64229
64062.2,834.429,12312.4,58.1051,-80.4431,2996.51,119.252,-121.786,-54.1432,-32.0254,43.6753,0.64239
146341,1182.11,406543,305.482,-138.421,2642.04,243.523,70.2048,-3.29529,-188.925,163.703,0.644951
293461,1253.69,78324.2,-185.889,19523,1660.89,636.531,412.586,81.4784,-375.332,-146.214,0.645191
85374.2,833.998,108857,8.07903,30.5195,3851.74,-8.2464,137.356,20.2474,-83.4175,-50.4529,0.645791
81739.3,987.969,54119.6,-19.1046,-177.668,1186.86,352.18,-180.709,-82.1621,-34.188,213.142,0.654475
112784,1015.29,62882.9,135.194,-0.0596235,6092.81,37.5457,-159.569,-44.2787,61.3823,13.7193,0.655916
161830,1152.64,40648.3,-16.9023,-45.1704,393.778,30.6292,119.315,4.33203,-8.18771,-72.9846,0.656756
