FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
785499,1609.81,616693,40772.5,23.3613,79648.8,23700.9,3896.92,6108.73,8.39649
838390,1511.29,594459,22406,585.76,44796.8,16954.5,5645.43,3657.76,8.39973
1.29E+06,1673.95,1.04E+06,66069.8,-817.106,112113,26508.9,12153.4,3054.18,8.40235
640673,1705.69,344888,42277.2,936.526,35077.4,21715.4,9813.42,3625.4,8.41323
757723,1423.66,598730,14.6907,136.112,48488.7,387.978,222.958,115.143,8.41711
797719,1709.12,496120,39961.5,1333.83,83139,32520.4,6081.6,5332.46,8.41871
613330,1808.19,682958,10068,798.852,19625.9,7193.89,1802.33,529.332,8.42515
1.33E+06,1881.51,993746,44862.8,1824.95,88593.1,45409,33791.6,10422.9,8.42669
772874,1851.51,701357,23077.5,-310.454,66799.9,26397.4,10083.1,6306.99,8.42803
586392,1438.64,461069,25412,433.358,42954,16105.6,7005.17,4996.93,8.42861
629882,1733.38,498924,29761.2,273.255,49028,24213.7,12337.8,5231.78,8.42965
951031,1792.92,641745,52470.4,112.268,79153.1,33138.1,9162.06,7940.5,8.43063
943575,1668.5,432673,13587.4,23694.2,12768.3,1416.5,420.479,682.011,8.43087
836933,1506.63,549189,35241.8,252.429,55616.5,30575.7,6809.86,6511.98,8.43881
570848,1604.81,468691,25419.9,375.693,39104.4,16366.4,12278.2,2978.45,8.45016
829389,1461.11,606716,34575.3,1354.11,33056.3,21804.7,7348.34,2241.37,8.45656
876195,2240.77,815169,47493.4,675.514,113904,52013.1,43027.2,33240.2,8.45676
619849,1626.73,451256,28481.6,117223,14605.8,8198.46,8956.88,8012.13,8.45696
640367,1933.96,868681,42595.3,137.875,53335.3,21709.6,11297.1,1997.54,8.45732
570485,1681.99,492023,37335.6,468.08,42718.8,11639,4823.92,3175.4,8.46022
898488,1484.57,369137,29287.2,-680.289,23010.6,2231.6,-527.97,1303.49,8.4605
770693,1490.18,536183,28183.8,-320.109,20644.3,13807.7,2028.97,2163.46,8.46486
651547,1502.86,696917,22941.6,608.262,59921.4,34122.6,11964.8,6236.8,8.4727
684180,1949.27,624544,20861.6,1241.66,45476.9,19846.6,4880.97,2197.63,8.47548
654824,1457.29,404161,25890.2,285.687,56976.8,18122.9,6111.18,5327.91,8.47856
619713,1398.08,478043,24460.9,200.028,56219.4,18078.7,3931.75,7644.1,8.48236
551665,1489.73,536080,15836.4,5580.53,15159.7,4668.97,3812.52,919.22,8.4844
834026,1414.71,528011,16132.1,579522,18089.4,9440.76,-882.992,2341.5,8.491
792759,1728.2,561561,30328.3,-69.1103,81376.2,26104.7,9189.92,6014.3,8.49392
770157,1913.58,353612,23855,-121.978,32519.2,13945.8,4754.93,8799.19,8.49402
681694,1774.49,614796,40140.6,9446.35,33275.9,28846.6,9059.42,9001.86,8.495
802399,1863.5,554645,38600.2,247.693,72096.7,25728.3,8330.85,6403.69,8.49962
1.22E+06,1616.79,1.24E+06,25357.1,42601,27661.3,10288.6,2870.54,4650.07,8.4997
712762,1550.96,572518,20114.8,6090.96,40546.6,13620.6,17365.9,2231.91,8.50034
789738,1435.68,524922,394.858,157.567,26299.6,66.3968,160.9,125.059,8.50328
1.28E+06,1778.27,1.10E+06,55195.7,-1740.79,118550,55931.2,5878.49,6212.27,8.50828
559515,1595.13,369832,21410.6,909.161,24465.1,16817.5,2851.54,6652.64,8.51138
1.29E+06,1813.42,727088,55502,-46.9618,108917,31694,7517.86,12575.8,8.51168
616022,1580.97,423820,30851.4,187.418,41062.1,26383.3,7256.11,4839.2,8.51436
754162,1487.93,404831,14918.6,-480.322,30778.9,10449.3,2016.66,4080.44,8.51614
