FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
740300,329167,303326,1819370,945175,159208,8938.14,-261.322,-251.526,-188.551,55918.6,118.222,-31.4462
1339800,770363,747198,4194300,2768960,466703,20184.4,-107.478,-730.058,190.75,155420,1520.06,1.20679
965088,397785,509703,3780520,1906200,238631,10464.1,1270.13,176.352,183.258,145786,-811.403,-956.172
1043640,431120,335752,2419440,1183430,164713,7524.81,-5.92419,-45.7673,-18.6136,27071.5,-87.0181,-139.905
649032,396865,375514,2574800,1553240,232470,7579.87,595.968,-172.957,-122.715,106675,-462.564,179.584
1047600,514690,512383,3778460,1717830,223490,19321.4,1644.81,-178.499,595.39,127988,273.35,-23.2171
490861,274390,304844,2401350,1508520,196540,4400.07,377.299,49.6517,522.987,88275.2,-1223.88,-314.323
637142,386050,422013,2802740,1984510,304835,10250.6,-233.196,350.457,-138.854,242463,-1576.09,81.6247
823969,415856,401924,2758190,1158700,171895,19536.5,-264.492,0.647446,66.1829,3592.8,-249.801,1562.4
414130,180471,210631,1615280,883531,121088,3199.61,-88.6915,22.3129,172.062,92762.5,-1359.92,-159.11
779580,474168,258113,2096290,1221320,146820,6698.46,219.413,-406.638,361.934,153065,-1211.68,-145.421
918464,424911,221409,1415410,873798,129954,6409.17,-467.837,-223.841,-17.3967,49591.8,142.279,-30.5401
829747,396231,262084,1757710,1030720,151230,6158.49,-573.512,315.91,164.022,68395.1,-652.8,915.242
687527,453929,328564,2769840,1507020,183901,8498.43,1417.38,148.785,193.207,98459.1,97.9107,-646.683
829484,363387,563611,4194300,2523560,336900,19713.8,1940.26,481.247,-364.794,10071,817.246,-1474.25
675920,372442,332738,1600120,823032,173095,17999.9,791.106,44.0337,-322.14,68503.9,1239.92,-1112.49
588731,263837,217021,1596190,774713,101098,5237.37,-239.294,307.022,-69.4645,84333.5,-808.766,18.2491
847322,469327,334483,1977740,1098260,190595,6546.17,-450.749,95.3275,138.088,94993.4,96.2517,-77.8534
918851,411703,409800,3623540,1724020,196496,15154.5,1498.02,320.15,26.6985,164890,-256.899,-1214.78
499833,343208,209498,1407890,960722,135545,6169.34,-191.065,-116.865,-413.193,58216.4,-143.355,-261.376
873010,430757,291896,1897360,1211310,180392,6092.42,102.46,190.027,-300.162,45014.3,220.163,-5.35262
780972,388320,371664,2152350,1025310,175755,8254.46,-863.442,-416.06,-25.4439,78165.8,1365.21,-554.79
897828,347151,236417,1395510,585564,103400,5984.34,100.721,-111.93,545.917,112421,-392.45,56.0856
627743,375423,291501,1824540,1133550,184772,6987.46,-136.485,-246.098,88.9071,81099.8,-163.744,208.269
425253,317275,163363,1085020,822676,122789,4232.88,200.218,-186.059,-29.3884,17682.1,-18.3288,73.9494
614217,393629,180965,1004610,702017,127312,6801.88,-304.474,-316.369,507.912,43109.9,-29.5672,-183.51
523038,269531,248221,2058560,986289,127281,7105.96,445.05,136.148,671.198,13545.6,-127.918,-476.271
765423,367572,415783,2567400,1441310,232911,7491.09,-317.974,-317.957,621.483,82115,-159.865,-303.652
609811,382364,236561,1497370,1034870,163369,17139.5,352.903,-120.968,-165.597,243.919,533.192,-384.756
