"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
598827,2172.92,386535,-2165.52,9644.27,5465.43,8183.34,3922.23,-1353.57,5196.12,5.72552
402947,1428.37,93271.5,447.683,5366.42,7902.81,8857.3,19176.8,8938.08,18952,5.7697
491007,1829.18,195244,4835.25,11414.3,5386.14,17341.7,14837,5925.62,5501.36,5.77861
295284,1181.65,67928.5,5831.31,2445.43,4340.93,8857.14,8506.9,-454.712,4432.54,5.83026
752275,2027.18,198596,-12036.7,35019.3,15929.4,21747.7,65640.4,-5419.38,21932.6,5.91279
363264,1428.06,105475,9939.22,8182.67,9983.33,6259.16,29104.9,668.57,11328.5,5.92448
549226,1809.5,202728,16423.7,12507.8,8538.61,14028.1,37379.9,17597.1,11558.7,5.93871
820925,2540.7,279700,230469,16117.6,63074.9,20792.3,63267.1,10619.9,54363.9,5.95423
492334,1837.28,188120,169266,12641.7,15885.9,20280,39062.3,26335.8,28568.8,5.96678
505994,1620.84,142704,11140.6,8782.59,1771.01,16343.7,10288.3,1380.18,2026.15,5.99896
360995,1392.67,87682,6006.3,7308.89,10955.4,11250.4,19593,-1059.7,19609,6.00995
283545,1131.88,145279,-3739.85,5744.41,5726.78,3785.07,3233.35,-183.86,8029.2,6.0213
576531,1927.09,161725,-2958.67,7742.39,6110.54,11633.5,17153,1317.9,7397.89,6.07439
436257,1645.38,111892,-519.854,5790.88,3109.06,13586.8,9630.84,-899.896,4252.61,6.16949
496691,1656.72,181003,6686.24,4657.54,12707.7,11887.7,21630.4,23653,21997.7,6.24068
581334,1752.53,336126,-18229.2,25604.4,21711.1,26521.1,32353.5,-6446.45,25482.1,6.25198
576547,1864.1,200191,-4728.91,24775.4,30634.4,19489.5,42084.8,-3258.48,14972.7,6.36154
609854,2354.08,144655,16662.8,7861.81,3568.49,23548.4,36224.6,-376.176,26780.5,6.37599
288475,1180.5,79450.4,245388,3569.37,1247.18,11236,8118.03,413.318,6798.25,6.37634
305606,1232.44,63034.8,-948.886,3951.52,3625.97,5642.04,9611.75,-857.298,7638.33,6.38249
628835,2316.15,145598,51453.2,15526,8686.81,9770.95,45125.7,3703.3,8288.75,6.39243
743554,2067.9,269385,330888,19618.9,11310.8,26878.8,47952.4,12574.8,16932.4,6.39981
1.17878e+06,3556.23,497595,56712,68430,28354.3,46897.6,180753,4815.13,46547.1,6.42904
303053,1203.26,50545.9,4382.72,3519.76,4970.21,3631.75,22073,2179.31,7677.46,6.43434
708341,2054.6,224897,5054.01,21132.7,26249.1,21010.5,47556.5,10936.4,17768,6.45654
3.21936e+06,5678.59,1.0791e+07,38692,123071,-8144.27,28619.6,2831.06,52714.3,82802.6,6.48022
380491,1404.59,141048,-16.8373,4949.17,4154.34,4984.49,17882.6,552.287,7288.89,6.59388
319158,1255.33,169479,-302.631,2832.09,1321.76,5808.51,1105.24,139.262,1140,6.61411
355473,1445.01,234920,-7816.59,13929.1,28643.7,21528.9,30296.4,5819.1,41818.4,6.66131
897188,2298.04,393719,351693,24198.1,13098.4,18262.7,68169.7,-3625.55,24824.9,6.67446
330732,1334.48,83213.4,7769.92,5738.07,6729.25,7538.41,16599.1,22755.5,7319.58,6.76268
366994,1434.1,130526,6132.9,9409.83,9532.65,8955.86,20345.1,-199.949,13373.2,6.76473
1.04264e+06,3343.63,453986,169095,52023.9,37182.7,64895.8,139666,28426,40584.2,6.77707
797738,2885.21,178645,5673.54,16496.7,9923.13,18617.5,28278.1,-3379.01,11098.6,6.78057
397780,1542.39,87873,20642.1,8677.67,23660.3,10151.4,50709.1,1524.95,20963.1,6.81775
401487,1464.07,113140,4870.46,8456.99,3660.83,7947.08,10270.8,9699.31,6456.51,6.85821
2.46577e+06,4481.75,5.6019e+06,18800,74824.1,-4138.71,14944.4,-17289,28412.7,33334.1,6.9001
4.22767e+06,7428.17,2.32434e+07,75014.5,236024,-18929.1,48993.5,-62199.8,99219,150073,6.92327
1.18751e+06,4329.41,264366,13721.5,19198.3,6967.92,17874.3,88206.7,3882.47,38918.1,6.92378
316914,1244.36,86010,3489.03,8925.11,9478.72,5166.56,16364.9,3349.97,9704.01,6.93072
357583,1340.32,129816,9718.52,9165.46,15648.7,10021.2,27428,1146.98,16927,7.00339
386968,1551.8,185121,9580.74,11796.8,7172.87,14993.5,36673.9,15100.1,37008.1,7.02584
852502,2409.69,511122,-9945.42,20794.5,12367.3,66139.3,3894.27,-3254.74,18563.5,7.03434
572799,1903.63,119741,5218.77,5943.46,3521.25,14551.3,13229.7,-191.573,3130.2,7.04885
500976,1707.99,117841,4320.44,7908.42,4322.77,8830.47,40927,2175.21,23589.1,7.08819
544500,1755.39,271372,-15074,12431.2,20042.9,18345.9,13911.9,-9049.3,9298.84,7.12421
1.57385e+06,4889.75,439067,49683.4,38111.2,64642.9,56004,205167,67274.5,129434,7.12836
290350,1191.79,89854,6621.44,8816.23,4794.43,7914.73,12290.2,2227.24,7921.89,7.13848
466786,1593.64,116017,11689.5,14931.5,20634.4,10152.9,32003.5,2652.78,19562.8,7.16097
1.54246e+06,4260.2,505040,20112.1,55412.1,17385,35218.5,133113,-85.8354,23305.4,7.16712
401700,1529.97,325675,88933.9,11199.4,29741.8,12977.9,70816.7,11964.6,23828.2,7.18246
691413,2138.17,208724,56683.4,24619.7,33474.5,20990,73136.2,16914.7,39377.1,7.18321
282058,1140.35,84521.9,-24.2847,1918.89,1525.31,5761.19,643.08,-524.768,1424.16,7.19345
1.18202e+06,3052.47,382962,32486.3,35313.2,13869.3,23794.3,129414,16812.8,41693.5,7.1942
966654,2817.08,648402,967538,10923.2,10199.3,21727.8,41921.4,-859.237,8624.65,7.20096
387538,1426.66,258407,-4364.95,7062.85,4394.48,6383,1872.12,-2538.47,4572.94,7.21466
1.50735e+06,3272.02,1.07961e+06,-5373.03,40302.9,22738.5,69026.5,114194,-1678.86,31399.3,7.22059
771844,2508.4,164924,11394,20750.4,9061.41,13250.3,40241.7,3035.85,7326.34,7.22253
492039,1718.77,51397.7,104.033,2030.39,693.453,4304.8,2673.7,-25.9055,544.445,7.23601
530086,1913.88,130563,51029.6,7355.87,13901.4,10405.2,36544.6,5438.7,15457.1,7.24667
299390,1210.49,86314.5,875.299,2235.29,1135.33,3377.14,237.65,29.4072,655.438,7.25011
