"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
374192,1443.89,128288,724.5,3392.54,2335.43,2277.26,1647.38,-63.0873,1980.21,3.64322
333636,1315.38,99174.3,5353.49,13211.7,6887.37,11526.5,33922,371.224,10501.7,3.64338
425378,1619.14,113955,920200,2993.06,6844.29,11834.7,26273.2,-5034.31,7083.17,3.64906
9.09871e+06,15649.9,9.93748e+06,-15155.8,59051.8,11746.8,21262.6,-16829.4,37111.7,25762.7,3.69522
1.12947e+06,2528.76,3.61096e+06,6047.49,22340.6,-1323.58,4908.66,-4132.2,8575.2,11622.8,3.714
2.60926e+06,4802.03,4.16823e+06,196872,152106,54069.8,93168.9,230661,48097.9,113833,3.72964
732122,2284.42,255142,3691.53,22510.6,7871.21,21186.3,69917.8,4319.24,11020.8,3.77057
339141,1258.22,92457.3,3309.08,16115.5,5701.08,7443.78,35948.6,2169.42,3082.2,3.77085
454626,1665.25,237164,3965.52,13939.2,8131.6,11762,36526.8,-481.754,17177.8,3.77085
2.08633e+06,4812.59,768078,26290.3,106730,44026.1,49113.9,179016,30474.1,51986.8,3.77101
555838,2072.63,160903,14210.4,16636.1,11840.7,15705.4,44150.4,12918.2,9716.29,3.77113
912126,2882.84,217108,28295.6,32929.7,21910.4,30204.4,101907,64407.6,35294.9,3.78039
2.25008e+06,5208.89,1.12522e+06,60295.1,109988,39383.6,56094.2,238132,27230.8,52047.6,3.79049
337390,1348.93,92127.1,2678.73,9650.57,5728.47,6395.46,13474.2,-2347.64,6779.11,3.79051
799196,2274.48,239261,32358.8,26538.1,48754.9,24404.5,50296.1,12466.7,27241.9,3.79289
1.03959e+06,3115.61,342335,-2800.62,31041.1,13236.9,28265.3,44655.5,2098.52,19133,3.79301
821460,2676.17,198096,24698.3,33257.4,16327.4,18593.4,68155.2,12197.8,11799.1,3.79341
425848,1573.07,137432,3488.63,12163.7,7200.55,9709.26,30116.9,7639.33,3042.11,3.79693
433350,1493.7,167356,1830.82,13146.1,5284.13,8555.31,25352.7,5097.86,2750.5,3.80383
422626,1512.03,95706.3,12586.2,12934.6,8578.96,10489.3,32427.9,4430.26,11818.2,3.80391
732228,2208.1,387592,11351.8,38664.9,13957.2,20096.2,101994,5736.57,20177.8,3.80485
1.12271e+06,3723.95,687063,26209.5,63138.6,18514.8,36724.7,105771,13943,37332.2,3.80487
624806,2474.4,124370,11806.2,13099.5,10277.3,9740.67,57211.3,3163.6,14265,3.80495
359502,1307.58,122342,5558.95,2635.74,11706,11796.2,12779.8,-2598.34,8991.71,3.80701
598228,1793.79,202481,53600.1,9898.51,7964.45,11519.1,14173.4,-664.143,8951.86,3.81099
373795,1398.26,76068.6,3580.3,7142.53,986.026,7675.05,26123.3,583.597,8209.49,3.81497
454133,1860.84,129088,31734,9706.12,4966.89,10115,42788.1,2878.3,6991.35,3.81591
656792,2257.99,267615,555367,13306.2,8940.5,24418.2,77481.6,8937.98,23634.7,3.81867
491670,1845.13,144344,976.59,9405.02,3725.43,5800.94,32783.9,618.229,6584.35,3.81919
484642,1773.87,264231,-986.973,21947.9,10063.1,19203.4,39953.8,2611.65,13092.8,3.83005
3.20038e+06,6980.7,2.33343e+06,153344,259966,186966,324480,588251,131888,247230,3.83505
1.10144e+06,3979.13,483312,28368.5,58919.9,35772.5,37649.7,158758,14098.7,50181,3.84497
667969,2150.78,401904,21020,28287.3,10150.9,24798.9,57609.3,7421.31,23105,3.84777
569913,2163.69,417498,8610.02,68239.8,33036.9,39978.6,96368.8,18572.4,38382,3.85503
1.16328e+06,3389.08,854633,30492.6,82515.4,49406,53493.7,147388,8394.14,76214.2,3.85505
359643,1428.13,200482,-5199.56,13658.4,8476.62,7121.48,19770.8,-1167.9,8400.81,3.85861
420092,1614.04,151577,-1325.26,7308.26,4576.25,9146.28,28678.9,-912.447,7557.71,3.85953
345466,1408.58,280716,314.069,62257.2,383.947,655.854,913.904,-708.591,725.883,3.8622
487956,1646.5,198685,7452.58,13252.4,8224.53,12814.4,23710.5,1065.14,9905.66,3.8623
591670,1854.26,189942,2537.76,23633.8,14927.8,27242.8,60379.6,15094,34973.3,3.87946
411269,1612.52,77962.2,-1062.13,5447.52,3285.54,5270.41,12588.8,-781.552,5220.19,3.92078
489270,1736.73,212544,1468.02,15223.2,14193.7,10744.5,37484,496.625,10801.2,3.92482
550813,2126.49,95316.3,71.9838,9365.4,4413.08,30467.5,20839.2,-315.912,11911.8,3.93012
601736,1635.81,320760,-4993.32,17963.1,10927.8,11979.3,25871.7,-389.51,10470.5,3.93532
409307,1503.42,229719,11197.8,12133.6,9293.08,12965.2,37371.4,39080.2,14955.4,3.94192
517356,1803.37,155973,2922.86,10759.6,11022.9,11517.4,63548.4,-1832.85,14312.8,3.94706
1.09262e+06,2837.92,554552,-1535.03,26288.3,12043,47928,97091.4,-7954.45,28789.6,3.95074
593734,1846.18,214052,3587.03,11555,1476.3,9803.52,18474.3,1122.69,3621.1,3.95454
750668,2298.92,265294,17748.8,16271.5,23008.1,21800,47841,82206.7,16479.1,3.95496
539866,1808.41,110923,-2157.86,8126.52,4581.54,7461.72,17078.8,103.954,6969.33,3.9576
642478,2066.88,217238,7301.24,17067,8685.03,17012.9,71165.7,7628.69,26916.9,3.9664
338123,1363.18,104394,-1056.23,5652.08,2460.26,4952.56,11524.4,1265.21,2323.35,3.9715
531206,2138.79,254275,26018.6,26676.7,37132.5,27889.2,78475.7,8305.69,32024.3,3.97156
1.04273e+06,2610.55,614931,-13330.4,44654.3,23730.1,31759.3,38764.1,-9018.3,22973.8,3.97956
728972,2059.24,248529,9219.97,20398.7,13024.6,18665.2,41544.6,6324.15,11507.6,3.97962
316892,1195.57,95316.5,2151.26,6201.52,1771.98,3083.66,5768.89,1588.52,2716.12,3.99921
698325,1922.43,374148,-1937.28,17999,8608.93,7935.81,11340.9,935.886,15004.5,4.00711
328578,1267.57,78220.6,-2400.94,11627.3,7626.25,8136.89,16360.1,393.932,4385.48,4.01211
509215,1858.92,236067,-8873.55,14982.5,12673,11060.2,46429.9,-969.468,10414.3,4.01907
391098,1534.14,149598,3985.85,20752.9,9827,14747.4,55125.2,7808.12,18544,4.01929
405691,1568.17,207009,7007.48,7070.81,17454.5,15947.2,43314.5,10612,8788.33,4.02555
442721,1473.47,101601,-2220.6,7834.71,8486.67,6542.01,12562.6,-114.711,11135.6,4.02717
988036,2702.32,292742,11290.9,32913.3,31158.6,23505.7,95003.5,7131.43,22196.7,4.03849
353477,1336.04,162092,-2767.06,11330.7,16165.2,9808.62,30383.2,-1079.43,13494.7,4.04627
538249,1848.26,176866,2991.74,13877.8,7591.75,11374.8,43084.2,2289.54,5544.13,4.06809
952835,3670.15,308289,6133.94,22749.9,10119.4,20696.2,67355.4,13291.5,13412.4,4.07527
446733,1797.38,92476.6,3518.76,5261.01,1663.34,9939.37,19694.6,393.25,6014.76,4.07631
348550,1313.85,51591.3,-4308.59,4778.49,16408.9,7692,18690.2,-3386.73,11407.6,4.08759
762921,2532.71,272654,128627,14779,18990.8,18592.8,41401.5,-1644.81,17512.9,4.09441
945688,2421.44,595903,55975.7,20270.8,12323.3,33149.4,59352.4,66.709,21462.2,4.10071
533812,1728.42,179499,21552.1,6306.74,14258.5,29026,31701.6,37219.7,16249,4.10119
397691,1549.32,173553,2662.76,11448.8,6397.62,6667.62,28930.6,1848.72,7572.27,4.11272
523399,1696.63,132747,7027.91,12549.3,14060.8,15813,26670,-2638.14,11389.3,4.12484
406132,1445.51,121150,1320.16,8995.61,8380.96,9527.14,19797.7,-856.891,11377,4.14808
452766,1814.07,120605,-4820.94,15712.9,21098.3,10848.6,39367.2,309.937,11580.6,4.17606
389277,1563.31,87163.3,6761.16,11472.7,2578.44,7882.77,44397.4,7537.46,19751.7,4.18166
655444,2289.38,167446,1786.12,5385.86,2862.21,2656.51,7869.37,1123.42,4698.28,4.1863
1.69114e+06,4951.99,782859,16876.5,56986.4,40964.9,51593.4,170323,18581.1,46092.9,4.19008
356466,1281.28,97878.3,6736.72,6540.53,8227.9,6821.38,15881.9,2129.95,6126.04,4.20024
603896,1839.43,213310,4624.11,12987.4,2459.38,18617.6,20184.3,4095.13,6952.65,4.22889
364672,1421.55,75150.1,142.202,8332.22,5586.36,8033.67,13952.8,-206.964,4862.99,4.23355
402979,1509.06,134170,4393.56,6226.65,974.51,15968.1,19191.5,318.053,4715.05,4.24505
1.03801e+06,3059.37,509427,-477.464,18348.8,16522.8,20626.9,56182.4,-1576.64,16363.8,4.24581
333986,1264.83,95871.6,2098.53,8855.03,8688.6,4466.01,18471.6,-782.456,6928.09,4.26537
296245,1172.7,119009,74990.5,4607.79,7801.28,3374.7,3369.63,-1075.08,3843,4.29985
