FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
1012380,525566,409368,2793090,1637990,242938,6924.79,9200.51,191.644,21.8576,405.339,-603.186,-411.946
1168260,711293,349962,2979490,1725150,205131,5870.06,15967.7,95.3914,-61.7346,771.044,-215.014,-216.951
617192,388118,366985,2036490,1271030,229796,5332.04,8553.89,209.574,-2.46828,-186.537,116.682,269.469
869192,530711,496624,2823850,1821380,325522,8881.52,8307.55,-522.451,394.67,-352.092,-69.8171,21.8942
598666,379609,471478,3639820,2874380,354376,15735.5,4521.66,-126.119,145.991,-124.615,-431.1,4658.35
1512320,765099,601288,4194300,2062650,283248,9281.56,18886.7,599.074,-522.467,-351.694,-96.9744,-289.63
658864,433196,251912,2140970,1532910,180505,3411.49,24674.5,50.2973,-181.366,252.163,-96.3899,53.6572
739753,464076,264495,2052510,1383360,179264,4524.6,10800.3,46.5132,-400.889,-234.273,-26.4598,109.954
1194820,523713,534672,3024270,1511540,248717,8747.44,8150.11,-189.814,-240.664,-913.9,-61.4605,74.4412
992784,516746,602593,3650390,2377250,398517,17526,16036.5,-523.825,-357.813,-553.958,313.262,-665.403
